Customer_ID,Customer_Name,Customer_Segment
CUST00001,Chloe Sanford,Unknown
CUST00002,Julie Alvarado,Consumer
CUST00003,Daniel Roberts,Corporate
CUST00004,Christy Maddox,Corporate
CUST00005,Corey Davis,Corporate
CUST00006,Holly Ruiz,Consumer
CUST00007,Mark Powell,Consumer
CUST00008,Jeffrey Torres,Consumer
CUST00009,Rodney Frazier,Home Office
CUST00010,Sonya Foster,Consumer
CUST00011,Jay Sullivan,Consumer
CUST00012,Abigail Marshall,Consumer
CUST00013,Haley Johnson,Home Office
CUST00014,Alexandra Elliott,Unknown
CUST00015,Andrew White,Corporate
CUST00016,Chris Cohen,Home Office
CUST00017,Heidi Delgado,Corporate
CUST00018,Jonathan Liu,Consumer
CUST00019,Sergio Vazquez,Home Office
CUST00020,Abigail Miller,Corporate
CUST00021,Gregory Shah,Consumer
CUST00022,Sara Wilson,Unknown
CUST00023,Patricia Lamb,Corporate
CUST00024,Brenda White,Consumer
CUST00025,Nancy Stafford,Consumer
CUST00026,Steve Taylor,Unknown
CUST00027,Stacey Morgan,Corporate
CUST00028,Joshua Norris,Consumer
CUST00029,Anthony Ramirez,Consumer
CUST00030,Ann Pineda,Consumer
CUST00031,Dan Rodriguez,Consumer
CUST00032,Dr. Emma Davis,Corporate
CUST00033,Stacy Smith,Consumer
CUST00034,Shannon Ellis,Corporate
CUST00035,Regina Allen,Consumer
CUST00036,Matthew Tran,Consumer
CUST00037,Felicia Giles,Consumer
CUST00038,Michael Shannon,Home Office
CUST00039,Anthony Robinson,Consumer
CUST00040,Charles Martinez,Consumer
CUST00041,Jacob West,Consumer
CUST00042,Megan Mcdaniel,Consumer
CUST00043,Matthew Pierce,Home Office
CUST00044,Joshua Flores,Consumer
CUST00045,Morgan Allen,Corporate
CUST00046,Jesse Phillips,Consumer
CUST00047,Anthony Haney,Corporate
CUST00048,Jessica Estrada,Home Office
CUST00049,Michael Tapia,Corporate
CUST00050,Julie Terrell,Consumer
CUST00051,Amy Jenkins,Home Office
CUST00052,Donald Jensen,Consumer
CUST00053,Paul Mathews,Consumer
CUST00054,Michael Adams,Home Office
CUST00055,Melissa Davila,Consumer
CUST00056,Gina Blair,Corporate
CUST00057,Micheal Butler,Consumer
CUST00058,David Robinson,Home Office
CUST00059,Anne Hall,Consumer
CUST00060,Christopher Blair,Consumer
CUST00061,Mary Mccullough,Home Office
CUST00062,Andrew Lopez,Home Office
CUST00063,Michelle Sellers,Consumer
CUST00064,Cristina Watkins,Home Office
CUST00065,Felicia Galvan,Consumer
CUST00066,Laura Castillo,Home Office
CUST00067,Brian Williams,Consumer
CUST00068,Michelle Holder,Consumer
CUST00069,Wendy Powell,Corporate
CUST00070,Anthony Roberts,Consumer
CUST00071,Victoria Phillips,Corporate
CUST00072,Nathaniel Price,Unknown
CUST00073,Brittany Castaneda,Consumer
CUST00074,Nicole Walls,Corporate
CUST00075,Andrew Torres,Corporate
CUST00076,Julie Gonzalez,Home Office
CUST00077,Christopher Gonzales,Consumer
CUST00078,Stacey Todd,Corporate
CUST00079,Cheryl Waters,Consumer
CUST00080,Joseph Johnson,Consumer
CUST00081,Betty Watkins,Corporate
CUST00082,Maria Fleming,Home Office
CUST00083,Ricky Mays,Home Office
CUST00084,Veronica Horn,Corporate
CUST00085,Michael Davis,Home Office
CUST00086,Jacqueline Dickerson,Consumer
CUST00087,Travis Williams,Consumer
CUST00088,Aaron Martinez,Consumer
CUST00089,Dr. Sydney Lopez,Consumer
CUST00090,Rebecca Acosta,Consumer
CUST00091,Wesley Chandler,Consumer
CUST00092,Dominique Sanders,Home Office
CUST00093,Kelli Freeman,Corporate
CUST00094,Jennifer Trevino,Home Office
CUST00095,Joseph Marquez,Corporate
CUST00096,Michael Mitchell,Consumer
CUST00097,Lisa Taylor,Consumer
CUST00098,Dana Taylor,Consumer
CUST00099,Austin Garcia,Corporate
CUST00100,Anne Weaver,Corporate
CUST00101,Jordan Olsen,Consumer
CUST00102,Carmen Jones,Corporate
CUST00103,Sharon Farrell,Consumer
CUST00104,Katrina Rubio,Corporate
CUST00105,Pamela Buck,Consumer
CUST00106,Patrick Silva,Consumer
CUST00107,David Baldwin,Corporate
CUST00108,Kristina Mitchell,Consumer
CUST00109,Sherry Whitney,Corporate
CUST00110,Monique Miller,Consumer
CUST00111,Justin Serrano,Consumer
CUST00112,Charles Porter,Consumer
CUST00113,Charles Moore,Consumer
CUST00114,Ricky Jackson,Consumer
CUST00115,Angela King,Home Office
CUST00116,Adrienne Morris,Corporate
CUST00117,David Tanner,Consumer
CUST00118,Nathan Kent,Consumer
CUST00119,Scott Flores,Consumer
CUST00120,Lauren Bell,Corporate
CUST00121,Melissa Flores,Corporate
CUST00122,Elizabeth Mitchell,Consumer
CUST00123,Vanessa Moore,Unknown
CUST00124,Michelle Smith,Corporate
CUST00125,Jeffrey Clay,Consumer
CUST00126,Danielle Griffin,Corporate
CUST00127,Christine Garcia,Home Office
CUST00128,Michael Salas,Consumer
CUST00129,Alexandra Thompson,Corporate
CUST00130,Kyle Sullivan,Home Office
CUST00131,Lisa Mendez,Consumer
CUST00132,Christine Jacobson,Consumer
CUST00133,Samantha Patton,Consumer
CUST00134,Anthony Diaz,Corporate
CUST00135,Christina Melton,Consumer
CUST00136,Melissa Webb,Consumer
CUST00137,Robert Thompson,Consumer
CUST00138,Peter Reid II,Consumer
CUST00139,Erica Fisher,Consumer
CUST00140,Michael Williams,Home Office
